hostname,mx_domain
csc108.com,csc108.com
csec.com,csec.com
henglihydraulics.com,netease.com
cncec.com.cn,qq.com
fii-foxconn.com,fii-foxconn.com
cib.com.cn,cib.com.cn
bankofbeijing.com.cn,bankofbeijing.com.cn
crcc.cn,icoremail.net
crcc.cn,crcc.cn
junzhenggroup.com,qq.com
shxcoal.com,shxcoal.com
bosc.cn,bosc.cn
hongtastock.com,qq.com
gac.com.cn,gac.com.cn
abchina.com,abchina.com
pingan.cn,pingan.com.cn
bankcomm.com,bankcomm.com
newchinalife.com,newchinalife.com
360.cn,qihoo.net
xyzq.com.cn,icoremail.net
crec.cn,crec.cn
icbc.com.cn,icbc.com.cn
chalco.com.cn,chalco.com.cn
cpic.com.cn,cpic.com.cn
mccchina.com,mccchina.com
e-chinalife.com,e-chinalife.com
gwm.com.cn,mxhichina.com
psbc.com,psbc.com
cscec.com,cscec.com
powerchina.cn,qq.com
chinasatcom.com,263xmail.com
chinatelecom-h.com,trendmicro.com
crrcgc.cc,crrcgc.cc
crrcgc.cc,icoremail.net
ebscn.com,ebscn.com
xyl.cn,xingyu-lighting.com
ccccltd.cn,icoremail.net
ccccltd.cn,ccccltd.cn
cosl.com.cn,cosl.com.cn
cebbank.com,cebbank.com
srcb.com,srcb.com
bocd.com.cn,bocd.com.cn
petrochina.com.cn,petrochina.com.cn
flatgroup.com.cn,netease.com
ceec.net.cn,qq.com
chint.net,mxhichina.com
stocke.com.cn,stocke.com.cn
chinastock.com.cn,chinastock.com.cn
chinacoalenergy.com,chinacoalenergy.com
zjky.cn,netease.com
foundersc.com,foundersc.com
czbank.com,czbank.com
coscoshipping.com,wswebpic.com
ccb.com,ccb.com
linglong.cn,corpsmtp.net
linglong.cn,corpsmtp.cn
linglong.cn,corpemail.net
cnnp.com.cn,cnnp.com.cn
boc.cn,boc.cn
cicc.com,cicc.com
citicbank.com,citicbank.com
sugon.com,sugon.com
ganlee.com,outlook.com
goodix.com,goodix.com
wuxisj.com,qq.com
gongniu.cn,netease.com
wuxiapptec.com,wuxiapptec.com
hoshinesilicon.com,netease.com
haitian-food.com,haitian-food.com
powersemi.com,qq.com
jinshiyuan.com.cn,qq.com
ystwt.com,263.net
ecovacs.cn,ecovacs.cn
putailai.com,biz-email.net
putailai.com,corpsmtp.cn
putailai.com,corpsmtp.net
huayou.com,qq.com
firstpvm.com,aliyun.com
oppein.com,netease.com
kingmed.com.cn,qq.com
mg-pen.com,mg-pen.com
gigadevice.com,outlook.com
cmoc.com,outlook.com
szeastroc.com,qq.com
ronbaymat.com,qq.com
montage-tech.com,montage-tech.com
transsion.com,outlook.com
cathaybiotech.com,cathaybiotech.com
wps.cn,icoremail.net
roborock.com,qq.com
bloomagebiotech.com,mxhichina.com
