inference_name,company_name
ProofPoint,ProofPoint
Mimecast,Mimecast
Cisco,Cisco
Google,Google
MessageLabs,Symantec
Microsoft,Microsoft
Tencent,Tencent
TrendMicro,TrendMicro
Tucows,Tucows
ForcePoint,ForcePoint
GoDaddy,GoDaddy
Mailgun,Mailgun
Barracuda,Barracuda
Rackspace,Rackspace
OVH,OVH
Sophos,Sophos
UnitedInternet,United Internet
Mail.Ru,VK Company Ltd
Yandex,Yandex
